,Model,Time (s),Test accuracy,"Test precision, weighted","Test F-1, weighted",CV round
0,LogReg,82.396,0.706,0.708,0.705,1
1,LogReg,78.368,0.717,0.717,0.717,2
2,LogReg,88.982,0.703,0.704,0.703,3
3,LogReg,80.803,0.703,0.704,0.703,4
4,LogReg,82.883,0.711,0.711,0.71,5
5,RF,12.238,0.812,0.811,0.811,1
6,RF,11.318,0.818,0.817,0.818,2
7,RF,11.35,0.813,0.812,0.812,3
8,RF,11.41,0.816,0.814,0.815,4
9,RF,11.379,0.813,0.812,0.812,5
10,XGB,1180.713,0.825,0.824,0.824,1
11,XGB,1171.519,0.83,0.828,0.828,2
12,XGB,1194.444,0.822,0.821,0.821,3
13,XGB,1168.633,0.828,0.827,0.827,4
14,XGB,1146.535,0.818,0.817,0.817,5
15,KNN,0.068,0.717,0.719,0.714,1
16,KNN,0.042,0.717,0.719,0.713,2
17,KNN,0.047,0.713,0.714,0.71,3
18,KNN,0.065,0.724,0.725,0.722,4
19,KNN,0.042,0.709,0.711,0.706,5
20,SVM,92.084,0.716,0.72,0.715,1
21,SVM,94.499,0.725,0.725,0.724,2
22,SVM,91.602,0.713,0.716,0.712,3
23,SVM,91.949,0.711,0.714,0.71,4
24,SVM,92.353,0.723,0.726,0.721,5
